trial,score,validity_rate,avg_cost,n_runs,n_valid,elapsed_s,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
19,271.27173824805516,1.0,271.27173824805516,30,30,5.732771873474121,False,14.683677166150126,0.16272706148831426,1.9444844017397247,7.119061485894832,5.90201483274856,3.4329409696162125,1.4867667972722824,0.6301880262932662,1.3475771470205185,0.7884426225159963,0.6018055197227359
20,750000134.2069198,0.25,134.20691981232505,12,3,0.716193675994873,True,12.806740917962166,0.1824385461990989,1.9510244113110264,7.919735316977802,5.9043571126882455,3.3207995694548957,1.555318328611064,0.7155291395207461,0.4930309575785079,0.4239015750140177,0.5082218466553261
21,314.59662847090254,1.0,314.59662847090254,30,30,6.970900058746338,False,14.765941160712904,0.13361503393081225,2.385847442093743,6.838307903548183,7.158002223090385,3.911152751483421,1.5306274093777954,1.5423815767291362,1.2970945941800045,0.9019079794746718,1.1509599543558202
22,500000079.86507183,0.5,79.86507184320509,12,6,2.150629758834839,True,7.966527794735998,0.28107140976727973,1.797150136051951,6.235558949887074,5.123378354720009,3.5128127390521175,2.1099867209455927,0.6797449701835515,0.63603224831287,1.4470885487287681,0.6467181575892476
23,215.24075182318137,1.0,215.24075182318137,30,30,4.308453798294067,False,16.038134591789703,0.16761192627230312,1.5824983905069048,7.374642595547497,4.047951172166767,2.7124424414259325,1.431435138252502,1.8735645484590628,1.2987871875073034,0.6695446911100509,1.0877517192744706
24,166666926.48385218,0.8333333333333334,259.81718554919786,30,25,6.474650859832764,False,16.803019945654256,0.17807622416449537,1.5748451320042944,7.217980310943052,5.73452934507092,2.6868998915358997,1.3808663157105132,1.559191714746932,1.3008909762933245,0.02017735642317653,1.2264050223543712
25,250000071.3923697,0.75,71.39236969002,12,9,2.081698417663574,True,17.88915974444829,0.25627999897497905,1.4666386719798763,7.430506459438383,6.711871147150806,2.9232969227253762,1.8714933175322006,2.076487587506744,1.5345296350979238,0.6304525123248992,1.9451454484065513
26,500000080.3005019,0.5,80.30050189157238,12,6,2.320786952972412,True,8.509234118132145,0.1305128042294652,0.5362195363918385,6.607413609197283,4.245971491011692,3.3660289035753883,2.442915421349884,1.2016426235206055,1.1646121062834978,0.21663949218777856,0.5166221826618175
27,200000209.98996502,0.8,209.98996504436113,30,24,6.006247282028198,False,19.439799327809535,0.33747529527453585,2.1392126924822383,5.699852591824799,5.516765187963457,2.55125488816669,1.690534882648733,3.351382449471304,0.7297107984168161,0.6121214274740158,1.0935099565694013
28,1000000000.0,0.0,0.0,12,0,2.131084680557251,True,12.755681891217035,0.0748850833920504,2.497750082859625,7.504580896902577,4.849834397566822,3.647533046252804,1.3039402046215294,0.5409393153298492,0.0817089847957817,1.0564776383745476,2.265397970270582
29,500000080.3005019,0.5,80.30050189157238,12,6,2.2695374488830566,True,9.710935379914975,0.2190172177255303,1.832218574618304,6.223106532226738,7.065014144733801,1.94361469708227,2.8402519954835332,2.0270142842720458,1.6266508128503085,1.582451465211363,1.5407088665981323
30,250000067.90018752,0.75,67.90018753412889,12,9,2.0814826488494873,True,14.36317032587174,0.11844671541129087,1.4037932216527595,5.45749134067259,5.962727035552675,3.139737637655512,1.908458365508993,1.153827527204192,1.3156933567008597,1.2310886694703114,0.3909724848916559
31,296.68736652583374,1.0,296.68736652583374,30,30,7.255432844161987,False,4.855864801402912,0.17437364637268965,2.5849373586726254,4.303618501747999,4.15229036939808,3.7712668680831327,0.7773942248750806,3.123909319108301,1.7072659160069548,0.8190714059261948,0.8323492433810495
32,148.61305872919695,1.0,148.61305872919695,12,12,0.9364573955535889,True,31.849629012021225,0.1740485428805156,1.9606480641699142,4.727776924654659,4.23957783267072,3.6636936638815683,0.8531099476309872,1.8660615075073712,1.684259266833182,0.381471601227519,1.0049763716660718
33,148.11418231785976,1.0,148.11418231785976,12,12,0.8112583160400391,True,6.920289859116077,0.1637243683879631,2.4997522599097626,6.775993401855351,5.1772426389683055,3.295514894009761,1.2811558748402097,3.2451186219300636,1.4096856507895454,0.7898740328848102,0.6768894492551838
